station_name,borough,entrance,lines
New Lots Av,Brooklyn,889 Livonia Avenue,"2,3,4,5"
Van Siclen Av,Brooklyn,745 Livonia Ave,"2,3,4,5"
Pennsylvania Av,Brooklyn,602 Livonia Ave,"2,3,4,5"
Junius St,,,"2,3,4,5"
Rockaway Av,Brooklyn,710 Rockaway Ave,"2,3,4,5"
Saratoga Av,Brooklyn,297 Legion Street,"2,3,4,5"
Sutter Av - Rutland Rd,Brooklyn,80 E 98 St,"2,3,4,5"
Crown Hts - Utica Av,Brooklyn,1074 Eastern Pkwy,"2,3,4,5"
Kingston Av,Brooklyn,291 Kingston Ave,"2,3,4,5"
Nostrand Av,Brooklyn,540 Eastern Pkwy,"2,3,4,5"
Franklin Av,Brooklyn,806 Franklin Avenue,"S,2,3,4,5"
Eastern Pkwy - Brooklyn Museum,Brooklyn,135 Eastern Pkwy,"2,3,4"
Grand Army Plaza,Brooklyn,10 Plaza St E,"2,3,4"
Bergen St,Brooklyn,243 Flatbush Avenue,"2,3,4"
Atlantic Av - Barclays Ctr,Brooklyn,590 Atlantic Ave,"B,D,N,Q,R,2,3,4,5"
Nevins St,Brooklyn,1 Flatbush Avenue,"2,3,4,5"
Borough Hall,Brooklyn,Joralemon Street,"2,3,4,5,N,R,W"
Bowling Green,Manhattan,1 Broadway,"4,5"
Wall St,Manhattan,80 Broadway,"4,5"
Fulton St,Manhattan,139 Fulton St,"A,C,N,R,W,J,Z,2,3,4,5"
Brooklyn Bridge - Chambers St,Manhattan,1 Centre St,"J,Z,4,5,6"
Canal St,Manhattan,257 Canal Street,"N,Q,R,J,Z,6"
Spring St,Manhattan,63 Spring Street,"4,6x,6"
Bleecker St,Manhattan,338 Lafayette Street,"4,6x,6,B,D,F,M"
Astor Pl,Manhattan,East 8th Street,"4,6x,6"
Union Sq - 14 St,Manhattan,East 14th Street,"4,5,6,6x,L,N,Q,R,W"
23 St,Manhattan,304 Park Ave S,"4,6x,6"
28 St,Manhattan,400 Park Ave S,"4,6x,6"
33 St,Manhattan,2 Park Ave,"4,6x,6"
Grand Central - 42 St,Manhattan,107 E 42 St,"4,5,6x,6,7,7x,S"
51 St,Manhattan,122 East 51st Street,"4,6x,6,E,M"
Lexington Av / 59 St,Manhattan,743 Lexington Avenue,"F,N,Q,R,4,5,6"
68 St - Hunter College,Manhattan,925 Lexington Avenue,"4,6x,6"
77 St,Manhattan,1100 Lexington Ave,"4,6x,6"
86 St,Manhattan,1280 Lexington Avenue,"4,5,6x,6"
96 St,Manhattan,1486 Lexington Avenue,"4,6x,6"
103 St,Manhattan,1636 Lexington Ave,"4,6x,6"
110 St,Manhattan,150 East 110th Street,"4,6x,6"
116 St,Manhattan,150 East 116th Street,"4,6x,6"
125 St,Manhattan,2060 Lexington Ave,"4,5,6x,6"
138 St - Grand Concourse,The Bronx,250 Grand Conc,"4,5"
149 St - Grand Concourse,The Bronx,500 Grand Conc,"2,4,5"
161 St - Yankee Stadium,The Bronx,River Avenue,"B,D,4"
167 St,The Bronx,1197 River Avenue,4
170 St,The Bronx,Jerome Avenue,4
Mt Eden Av,The Bronx,Mount Eden Avenue,4
176 St,The Bronx,1788 Jerome Ave,4
Burnside Av,The Bronx,2034 Jerome Ave,4
183 St,The Bronx,1 W 183 St,4
Fordham Rd,The Bronx,2467 Jerome Avenue,4
Kingsbridge Rd,The Bronx,1 E Kingsbridge Rd,4
Bedford Park Blvd - Lehman College,The Bronx,2947 Jerome Avenue,4
Mosholu Pkwy,The Bronx,Grand Concourse,4
Woodlawn,The Bronx,3660 Jerome Ave,4
