station_name,borough,entrance,lines
Flushing - Main St,Queens,Main Street,"7x,7"
Mets - Willets Point,,,"7x,7"
Junction Blvd,Queens,95-58 Roosevelt Ave,"7x,7"
Woodside - 61 St,Queens,61-12 Roosevelt Ave,"7x,7"
Queensboro Plaza,Queens,25-08A Queens Plaza South,"N,W,7"
Court Sq - 23 St,Queens,45-01 23 St,"E,G,M,7"
Hunters Point Av,Queens,21-00 49th Avenue,"7x,7"
Vernon Blvd - Jackson Av,Queens,10-09 50 Ave,"7x,7"
Grand Central - 42 St,Manhattan,107 E 42 St,"4,5,6x,6,7,7x,S"
5 Av,Manhattan,2 West 42nd Street,"7x,7"
Times Sq - 42 St,Manhattan,7 West 42nd Street,"N,Q,R,S,1,2,3,7,7x"
34 St - 11 Av,Manhattan,523 West 33rd Street,7
