station_name,borough,entrance,lines,latitude,longitude
Far Rockaway - Mott Av,Queens,11-10 Bch Channel Dr,A,40.60412115,-73.7554288202528
Beach 25 St,Queens,24-01 Far Rockaway Boulevard,A,40.5999949,-73.761242
Beach 36 St,,,A,40.7127281,-74.0060152
Beach 44 St,Queens,215 Beach 44th Street,A,40.5932548,-73.77561883704207
Beach 60 St,Queens,57-37 Arverne Boulevard,A,40.592693,-73.78844942429939
Beach 67 St,Queens,67-20 Rockaway Beach Blvd,A,40.5907827,-73.79681
Broad Channel,Queens,613 104 St,"A,S",40.6817152,-73.837694
Howard Beach - JFK Airport,Queens,1 Coleman Sq,A,40.6603785,-73.83070431666667
Aqueduct - N Conduit Av,,,A,40.7127281,-74.0060152
Aqueduct Racetrack,,,A,40.7127281,-74.0060152
Rockaway Blvd,Queens,94-24 Liberty Ave,A,40.680211799999995,-73.84393407536325
88 St,Queens,86-25 Liberty Ave,A,40.680072,-73.85128518072852
80 St,Queens,78-09 Liberty Avenue,A,40.6795615,-73.85891352283862
Grant Av,Brooklyn,Elderts Lane,A,40.687745,-73.867277
Euclid Av,Brooklyn,2702 Pitkin Ave,"A,C",40.675245625,-73.87243649999999
Shepherd Av,Brooklyn,2482 Pitkin Avenue,"A,C",40.6740256,-73.8806297
Van Siclen Av,Brooklyn,2222 Pitkin Ave,"A,C",40.672602222222224,-73.89051877777779
Liberty Av,Brooklyn,138 Pennsylvania Ave,"A,C",40.67448965,-73.89694275
Broadway Jct,Brooklyn,2399 Fulton Street,"A,C,J,L,Z",40.6782946,-73.9040846
Rockaway Av,Brooklyn,2130 Fulton St,"A,C",40.67815725,-73.9119344979538
Ralph Av,Brooklyn,1895 Fulton St,"A,C",40.678951,-73.920843
Utica Av,,,"A,C",40.7127281,-74.0060152
Kingston - Throop Avs,Brooklyn,1513 Fulton St,"A,C",40.6800936,-73.94082542568904
Nostrand Av,Brooklyn,1256 Fulton St,"A,C",40.6801903,-73.950433
Franklin Av,Brooklyn,1128 Fulton Street,"A,C,S",40.6810674,-73.9559534
Clinton - Washington Avs,Brooklyn,937 Fulton St,"A,C",40.6833864,-73.9657446
Lafayette Av,Brooklyn,698 Fulton St,"A,C",40.685934,-73.9740013
Hoyt - Schermerhorn Sts,Brooklyn,227 Schermerhorn St,"A,C,G",40.6886693,-73.9848908
Jay St - Metrotech,Brooklyn,55 Willoughby Street,"A,C,F,R",40.6923089,-73.9867358
High St,,,"A,C",40.7127281,-74.0060152
Fulton St,Manhattan,139 Fulton St,"A,C,N,R,W,J,Z,2,3,4,5",40.7103635,-74.0077635
Chambers St,Manhattan,Church Street,"A,C",40.716013,-74.0070959
Canal St,Manhattan,1 Lispenard Street,"A,C,E",40.72064,-74.00497
Spring St,Manhattan,188 Ave Of The Americas,"A,C,E",40.72620285,-74.00337636959794
W 4 St,Manhattan,West 4th Street,"A,B,C,D,E,F,M",40.7295629,-73.9965691
14 St - 8 Avenue,Manhattan,81 8th Avenue,"A,C,E,L",40.7399977,-74.0025703
23 St,Manhattan,West 24th Street,"A,C,E",40.7502561,-74.0082754
34 St - Penn Station,Manhattan,480 8th Avenue,"A,C,E",40.7449235,-73.9987549
42 St - Port Authority Bus Terminal,Manhattan,661 8 Ave,"A,C,E",40.7398753,-74.0027381
50 St,Manhattan,832 8 Ave,"A,C,E",40.7398753,-74.0027381
59 St - Columbus Circle,Manhattan,Columbus Circle,"A,B,C,D,1",40.76808045,-73.98189744682783
72 St,Manhattan,115 Central Park W,"A,B,C",40.77606435,-73.97638123934092
81 St - Museum Of Natural History,,,"A,B,C",40.7127281,-74.0060152
86 St,Manhattan,265 Central Park West,"A,B,C",40.7858014,-73.9691784
96 St,Manhattan,2 W 96 St,"A,B,C",40.7943793,-73.9719996
103 St,Manhattan,435 Central Park West,"A,B,C",40.7964664,-73.9613104
Cathedral Pkwy (110 St),Manhattan,Frederick Douglass Circle,"A,B,C",40.800698,-73.9578873
116 St,Manhattan,2168 Frederick Douglass Blvd,"A,B,C",40.8049262,-73.9547747
125 St,Manhattan,310 Saint Nicholas Avenue,"A,B,C,D",40.8109778,-73.9522114
135 St,Manhattan,26 Edgecombe Avenue,"A,B,C",40.8177984,-73.9472318
145 St,Manhattan,716 St Nicholas Ave,"A,B,C,D",40.8245457,-73.94398950606654
155 St,Manhattan,889 Saint Nicholas Avenue,"A,C",40.8306967,-73.9416361
163 St - Amsterdam Av,Manhattan,1033 St Nicholas Ave,"A,C",40.8358939,-73.940145
168 St,Manhattan,West 168th Street,"A,C,1",40.84095,-73.9394804
175 St,Manhattan,370 Fort Washington Avenue,A,40.8473189,-73.9395618
181 St,Manhattan,481 Ft Washington Ave,A,40.8516664,-73.93828727377209
190 St,,,A,40.7127281,-74.0060152
Dyckman St,Manhattan,Riverside Drive,A,40.832522,-73.949663
Inwood - 207 St,Manhattan,4966 Broadway,A,40.8678653,-73.9200735
