station_name,borough,entrance,lines,latitude,longitude
Brighton Beach,Brooklyn,601 Brighton Beach Avenue,"B,Q",40.57790025,-73.9614497
Sheepshead Bay,Brooklyn,1436 Sheepshead Bay Rd,"B,Q",40.58748575510204,-73.95485408163266
Kings Hwy,Brooklyn,1524 Kings Highway,"B,Q",40.608718999999994,-73.95752070934427
Newkirk Plaza,Brooklyn,1516 Newkirk Ave,"B,Q",40.6350356,-73.9628297
Church Av,Brooklyn,27 E 18 St,"B,Q",,
Prospect Park,Brooklyn,504 Flatbush Avenue,"B,Q,S",40.6617722,-73.9618528
7 Av,Brooklyn,349 Flatbush Ave,"B,Q",40.6771448,-73.9721944
Atlantic Av - Barclays Ctr,Brooklyn,590 Atlantic Ave,"B,D,N,Q,R,2,3,4,5",40.6808474,-73.8748891
Dekalb Av,Brooklyn,340 Flatbush Ave Extension,"B,D,N,Q,R",40.6904891,-73.98211752313367
Grand St,Manhattan,105 Chrystie St,"B,D",40.718359400000004,-73.9938358
Broadway-Lafayette St,Manhattan,606 Broadway,"B,D,F,M,4,6",40.8088168,-73.9632044
W 4 St,Manhattan,West 4th Street,"A,B,C,D,E,F,M",40.7295629,-73.9965691
34 St - Herald Sq,Manhattan,Avenue of the Americas,"B,D,F,M,N,Q,R",40.7490662,-73.9882979
42 St - Bryant Pk,Manhattan,Avenue of the Americas,"B,D,F,M",40.7490662,-73.9882979
47-50 Sts - Rockefeller Ctr,Manhattan,69 West 48th Street,"B,D,F,M",40.7586523,-73.9811024
7 Av,Manhattan,811 7th Avenue,"B,D,E",40.7627309,-73.9816563
59 St - Columbus Circle,Manhattan,Columbus Circle,"A,B,C,D,1",40.76808045,-73.98189744682783
72 St,Manhattan,115 Central Park W,"A,B,C",40.77606435,-73.97638123934092
81 St - Museum Of Natural History,,,"A,B,C",40.7127281,-74.0060152
86 St,Manhattan,265 Central Park West,"A,B,C",40.7858014,-73.9691784
96 St,Manhattan,2 W 96 St,"A,B,C",40.7943793,-73.9719996
103 St,Manhattan,435 Central Park West,"A,B,C",40.7964664,-73.9613104
Cathedral Pkwy (110 St),Manhattan,Frederick Douglass Circle,"A,B,C",40.800698,-73.9578873
116 St,Manhattan,2168 Frederick Douglass Blvd,"A,B,C",40.8049262,-73.9547747
125 St,Manhattan,310 Saint Nicholas Avenue,"A,B,C,D",40.8109778,-73.9522114
135 St,Manhattan,26 Edgecombe Avenue,"A,B,C",40.8177984,-73.9472318
145 St,Manhattan,716 St Nicholas Ave,"A,B,C,D",40.8245457,-73.94398950606654
155 St,,,"B,D",40.7127281,-74.0060152
161 St - Yankee Stadium,The Bronx,River Avenue,"B,D,4",40.825724,-73.927153
167 St,The Bronx,1181 Grand Conc,"B,D",,
170 St,The Bronx,1421 Grand Concourse,"B,D",40.8395113,-73.9136612
174-175 Sts,The Bronx,1750 Grand Conc,"B,D",,
Tremont Av,The Bronx,1940 Grand Conc,"B,D",,
Fordham Rd,The Bronx,2458 Grand Conc,"B,D",,
Kingsbridge Rd,The Bronx,Grand Concourse,"B,D",40.8429291,-73.9118389
