station_name,borough,entrance,lines,latitude,longitude
Coney Island - Stillwell Av,Brooklyn,2859 Stillwell Ave,"D,F,N,Q",40.5831114,-73.982663
Bay 50 St,Brooklyn,2400 Stillwell Ave,D,40.588763799999995,-73.98402128933449
25 Av,Brooklyn,86th Street,D,40.592721,-73.97823
Bay Pkwy,Brooklyn,2202 86th Street,D,40.601694,-73.9937484
20 Av,Brooklyn,2004 86 St,D,40.622811,-74.0282979
18 Av,Brooklyn,8439 New Utrecht Ave,D,40.60792865,-74.00156624726205
79 St,Brooklyn,7724 New Utrecht Ave,D,40.6136623,-74.0007298
71 St,Brooklyn,6919 New Utrecht Avenue,D,40.6197685,-73.9986473
62 St,Brooklyn,6124 New Utrecht Avenue,"D,N,W",40.6264054,-73.9970847
55 St,Brooklyn,5501 13th Avenue,D,40.6313984,-73.9956807
50 St,Brooklyn,4914 New Utrecht Ave,D,40.63628165,-73.99502831221591
Fort Hamilton Pkwy,Brooklyn,4402 New Utrecht Ave,D,40.6408678,-73.9944602
9 Av,Brooklyn,3801 9 Ave,D,40.6463249,-73.9943519
36 St,Brooklyn,926 4 Ave,"D,N,R",40.670272,-73.989779
25 St,Brooklyn,751 4th Avenue,"D,N,R",40.6602561,-73.9979263
Prospect Av,Brooklyn,591 4 Ave,"D,N,R",40.670272,-73.989779
4 Av - 9 St,Brooklyn,250 9th Street,"D,F,N,R,G",40.670289999999994,-73.9891634663332
Union St,Brooklyn,215 4 Ave,"D,N,R",40.670272,-73.989779
Atlantic Av - Barclays Ctr,Brooklyn,590 Atlantic Ave,"B,D,N,Q,R,2,3,4,5",40.6768467,-73.8895003
Dekalb Av,Brooklyn,340 Flatbush Ave Extension,"B,D,N,Q,R",40.6904891,-73.98211752313367
Grand St,Manhattan,105 Chrystie St,"B,D",40.7199073,-73.9929178
Bleecker St,Manhattan,338 Lafayette Street,"4,6,6X,B,D,F,M",40.7260781,-73.9947218
W 4 St,Manhattan,West 4th Street,"A,B,C,D,E,F,M",40.7355308,-74.0033399
34 St - Herald Sq,Manhattan,Avenue of the Americas,"B,D,F,M,N,Q,R",40.7435682,-73.9923179
42 St - Bryant Pk,Manhattan,Avenue of the Americas,"B,D,F,M",40.7435682,-73.9923179
47-50 Sts - Rockefeller Ctr,Manhattan,69 West 48th Street,"B,D,F,M",40.7586523,-73.9811024
7 Av,Manhattan,811 7th Avenue,"B,D,E",40.7627309,-73.9816563
59 St - Columbus Circle,Manhattan,Columbus Circle,"A,B,C,D,1",40.76808045,-73.98189744682783
125 St,Manhattan,310 Saint Nicholas Avenue,"A,B,C,D",40.8109778,-73.9522114
145 St,Manhattan,716 St Nicholas Ave,"A,B,C,D",40.8245457,-73.94398950606654
155 St,,,"B,D",40.7127281,-74.0060152
161 St - Yankee Stadium,The Bronx,River Avenue,"B,D,4",40.8277952,-73.925937
167 St,The Bronx,1181 Grand Conc,"B,D",,
170 St,The Bronx,1421 Grand Concourse,"B,D",40.8395113,-73.9136612
174-175 Sts,The Bronx,1750 Grand Conc,"B,D",,
Tremont Av,The Bronx,1940 Grand Conc,"B,D",,
182-183 Sts,The Bronx,2233 Grand Concourse,"B,D",40.8562957,-73.9010047
Fordham Rd,The Bronx,2458 Grand Conc,"B,D",,
Kingsbridge Rd,The Bronx,Grand Concourse,"B,D",40.8274492,-73.9223995
Bedford Park Blvd,The Bronx,3010 Grand Conc,"B,D",,
Norwood - 205 St,The Bronx,302 E 206 St,D,,
