station_name,borough,entrance,lines
Jamaica Center - Parsons/Archer,Queens,155-01 Archer Avenue,"E,J,Z"
Sutphin Blvd - Archer Av - JFK Airport,Queens,93-25 Sutphin Blvd,"E,J,Z"
121 St,Queens,121-17 Jamaica Ave,"J,Z"
111 St,Queens,112-02 Jamaica Ave,J
104 St,Queens,102-28 Jamaica Ave,"J,Z"
Woodhaven Blvd,Queens,93-15 Jamaica Avenue,"J,Z"
85 St - Forest Pkwy,Queens,84-27 Jamaica Ave,J
75 St,Queens,74-24 Jamaica Ave,"J,Z"
Cypress Hills,Brooklyn,876 Jamaica Avenue,J
Crescent St,Brooklyn,3294 Fulton St,"J,Z"
Norwood Av,Brooklyn,153 Hale Avenue,"J,Z"
Cleveland St,Brooklyn,2986 Fulton Street,J
Van Siclen Av,Brooklyn,2788 Fulton Street,"J,Z"
Alabama Av,Brooklyn,2598 Fulton St,"J,Z"
Broadway Jct,Brooklyn,2399 Fulton Street,"A,C,J,L,Z"
Chauncey St,Brooklyn,1747 Broadway,"J,Z"
Halsey St,Brooklyn,1533 Broadway,J
Gates Av,Brooklyn,1363 Broadway,"J,Z"
Kosciuszko St,Brooklyn,1142 Broadway,J
Myrtle Av,Brooklyn,935 Broadway,"J,M,Z"
Flushing Av,Brooklyn,773 Broadway,"J,M"
Lorimer St,Brooklyn,586 Broadway,"J,M"
Hewes St,Brooklyn,417 Broadway,"J,M"
Marcy Av,Brooklyn,299 Broadway,"J,M,Z"
Delancey St - Essex St,Manhattan,118 Delancey Street,"F,J,M,Z"
Bowery,Manhattan,173 Bowery,"J,Z"
Canal St,Manhattan,257 Canal Street,"N,Q,R,J,Z,6"
Brooklyn Bridge - Chambers St,Manhattan,1 Centre St,"J,Z,4,5,6"
Fulton St,Manhattan,139 Fulton St,"A,C,N,R,W,J,Z,2,3,4,5"
Broad St,Manhattan,40 Broad Street,"J,Z"
