station_name,borough,entrance,lines,latitude,longitude
Canarsie - Rockaway Pkwy,,,L,40.7127281,-74.0060152
E 105 St,,,L,40.7127281,-74.0060152
New Lots Av,Brooklyn,719 Van Sinderen Ave,L,40.6587491,-73.89899436766055
Livonia Av,Brooklyn,515 Van Sinderen Ave,L,40.664222800000005,-73.90041296348448
Sutter Av,Brooklyn,222 Belmont Ave,L,40.6699245,-73.90083678571429
Atlantic Av,,,L,40.7127281,-74.0060152
Broadway Jct,Brooklyn,2399 Fulton Street,"A,C,J,L,Z",40.6782946,-73.9040846
Bushwick Av - Aberdeen St,Brooklyn,68 Aberdeen St,L,40.6827429,-73.90497955000001
Wilson Av,,,L,40.7127281,-74.0060152
Halsey St,Queens,1018 Wyckoff Ave,L,40.69547015,-73.90416335
Myrtle - Wyckoff Avs,Brooklyn,282 Wyckoff Ave,"L,M",40.699725,-73.9117529
Dekalb Av,Brooklyn,114 Wyckoff Ave,L,40.7036685,-73.918501
Jefferson St,Brooklyn,19 Wyckoff Ave,L,40.7067737,-73.9228508
Morgan Av,Brooklyn,14 Harrison Pl,L,40.70604135,-73.93279897271114
Montrose Av,Brooklyn,241 Bushwick Avenue,L,40.7078626,-73.9397036
Grand St,Brooklyn,98 Bushwick,L,40.6942696,-73.9187482
Graham Av,Brooklyn,742 Metropolitan Avenue,L,40.714436,-73.9441029
Lorimer St,Brooklyn,561 Metropolitan Ave,"L,G",40.71422115,-73.95027875814819
Bedford Av,Brooklyn,183 N 7 St,L,40.57958465,-73.99862310943708
1 Av,Manhattan,418 E 14 St,L,40.7380466,-73.9963408
3 Av,Manhattan,225 E 14 St,L,40.7380466,-73.9963408
Union Sq - 14 St,Manhattan,East 14th Street,"4,5,6,6x,L,N,Q,R,W",40.7294404,-73.9780305
14 St - 6 Avenue,Manhattan,534 Ave Of The Americas,"F,M,L",40.7374265,-73.9965684
14 St - 8 Avenue,Manhattan,81 8th Avenue,"A,C,E,L",40.7399977,-74.0025703
