station_name,borough,entrance,lines,latitude,longitude
Astoria - Ditmars Blvd,Queens,22-49 31st Street,"N,W",40.7749016,-73.9119381
Astoria Blvd,Queens,25-02 31 St,"N,W",37.2916266,-76.6162737
30 Av,Queens,31-02 30th Avenue,"N,W",40.7667102,-73.9213085
Broadway,Queens,32-03 31 St,"N,W",37.2916266,-76.6162737
36 Av,Queens,35-55 31 St,"N,W",40.6491542,-73.7944613
39 Av,Queens,38-34 31 St,"N,W",40.6499658,-73.7936232
Queensboro Plaza,Queens,25-08A Queens Plaza South,"N,W,7",40.7502991,-73.9403411
Lexington Av / 59 St,Manhattan,743 Lexington Avenue,"F,N,Q,R,4,5,6",40.7624849,-73.9678233
5 Av/59 St,Manhattan,Grand Army Plaza,"N,Q,R",40.7643796,-73.97337386360579
57 St - 7 Av,Manhattan,7th Avenue,"N,Q,R",40.762862,-73.981637
49 St,Manhattan,721 7th Avenue,"N,Q,R",40.7599016,-73.9839117
Times Sq - 42 St,Manhattan,7 West 42nd Street,"N,Q,R,S,1,2,3,7,7x",40.7557653,-73.9867599
34 St - Herald Sq,Manhattan,Avenue of the Americas,"B,D,F,M,N,Q,R",40.7490662,-73.9882979
28 St,Manhattan,1185 Broadway,"N,Q,R",40.745545,-73.9888325
23 St,Manhattan,949 Broadway,"N,Q,R",40.7410206,-73.9895356
Union Sq - 14 St,Manhattan,East 14th Street,"4,5,6,6x,L,N,Q,R,W",40.7294404,-73.9780305
8 St - Nyu,Manhattan,755A Broadway,"N,Q,R",40.7304238,-73.9927478
Prince St,Manhattan,575 Broadway,"N,Q,R",40.7245413,-73.9977384
Canal St,Manhattan,257 Canal Street,"N,Q,R,J,Z,6",40.7187615,-74.0006954
City Hall,Manhattan,256 Broadway,"N,R",40.7134311,-74.0071432
Wtc - Cortlandt,Manhattan,19 Church Street,1,40.7106227,-74.0108547
Rector St,Manhattan,33 Trinity Place,"N,R",40.707121,-74.0132203
Whitehall St,Manhattan,2 Water St,"N,R,W",40.7027979,-74.012748
Court St,Brooklyn,189 Montague Street,"N,R",40.6942001,-73.9916917
Jay St - Metrotech,Brooklyn,55 Willoughby Street,"A,C,F,R",40.6923089,-73.9867358
Dekalb Av,Brooklyn,340 Flatbush Ave Extension,"B,D,N,Q,R",40.6904891,-73.98211752313367
Atlantic Av - Barclays Ctr,Brooklyn,590 Atlantic Ave,"B,D,N,Q,R,2,3,4,5",40.6808474,-73.8748891
Union St,Brooklyn,215 4 Ave,"D,N,R",40.670272,-73.989779
4 Av - 9 St,Brooklyn,250 9th Street,"D,F,N,R,G",40.670289999999994,-73.9891634663332
Prospect Av,Brooklyn,591 4 Ave,"D,N,R",40.58909066666667,-73.9645675
25 St,Brooklyn,751 4th Avenue,"D,N,R",40.6602561,-73.9979263
36 St,Brooklyn,926 4 Ave,"D,N,R",40.58931075167785,-73.96105002684564
45 St,Brooklyn,4523 4th Avenue,R,40.6487719,-74.0098762
53 St,Brooklyn,5213 4 Ave,"N,R",40.670272,-73.989779
59 St,Brooklyn,5901 4 Ave,"N,R",40.670272,-73.989779
8 Av,Brooklyn,740 61st Street,N,40.63539725,-74.01149140851919
Fort Hamilton Pkwy,Brooklyn,1032 62 St,N,40.626472,-73.996895
New Utrecht Av,Brooklyn,1462 62nd Street,"N,W,D",40.6250553,-73.99591580320217
18 Av,Brooklyn,1740 63rd Street,N,40.62089815,-73.99035353049365
20 Av,Brooklyn,6310 20 Ave,N,40.61741,-73.985026
Bay Pkwy,Brooklyn,1370 West 7th Street,N,40.61186645,-73.98163840767108
Kings Hwy,Brooklyn,1776 West 7th Street,N,40.60401625,-73.98016083609937
Avenue U,Brooklyn,2044 West 7th Street,N,40.5974828,-73.97891939372931
86 St,Brooklyn,2260A West 7th Street,N,40.5927805,-73.97799164689965
Coney Island - Stillwell Av,Brooklyn,2859 Stillwell Ave,"D,F,N,Q",40.57855221212121,-73.98175877777778
