station_name,borough,entrance,lines,latitude,longitude
Coney Island - Stillwell Av,Brooklyn,2859 Stillwell Ave,"D,F,N,Q",40.57855221212121,-73.98175877777778
W 8 St - NY Aquarium,Brooklyn,2951 West 8th Street,"F,Q",40.57651505,-73.97609753793938
Ocean Pkwy,Brooklyn,West Brighton Avenue,Q,40.5766878,-73.9714874
Brighton Beach,Brooklyn,601 Brighton Beach Avenue,"B,Q",40.57790025,-73.9614497
Sheepshead Bay,Brooklyn,1436 Sheepshead Bay Rd,"B,Q",40.58748575510204,-73.95485408163266
Neck Rd,Brooklyn,2258 East 16th Street,Q,40.595407699999996,-73.95497555
Avenue U,Brooklyn,2070 East 16th Street,Q,40.599508400000005,-73.95575742252592
Kings Hwy,Brooklyn,1524 Kings Highway,"B,Q",40.608718999999994,-73.95752070934427
Avenue M,Brooklyn,1510 Elm Ave,Q,40.6178254,-73.9596396
Avenue J,Brooklyn,1520 Ave J,Q,40.625141,-73.9606239
Avenue H,Brooklyn,826 East 16th Street,Q,40.6293562,-73.96142070736013
Newkirk Plaza,Brooklyn,1516 Newkirk Ave,"B,Q",40.6350356,-73.9628297
Cortelyou Rd,Brooklyn,386 East 16th Street,Q,40.6409839,-73.96367733278387
Beverley Rd,Brooklyn,1512 Beverly Road,Q,40.6451265,-73.9489324
Church Av,Brooklyn,27 E 18 St,"B,Q",,
Parkside Av,Brooklyn,305 Ocean Ave,Q,40.6556403,-73.9618107
Prospect Park,Brooklyn,504 Flatbush Avenue,"B,Q,S",40.6617722,-73.9618528
7 Av,Brooklyn,349 Flatbush Ave,"B,Q",40.6771448,-73.9721944
Atlantic Av - Barclays Ctr,Brooklyn,590 Atlantic Ave,"B,D,N,Q,R,2,3,4,5",40.6808474,-73.8748891
Dekalb Av,Brooklyn,340 Flatbush Ave Extension,"B,D,N,Q,R",40.6904891,-73.98211752313367
Jay St - Metrotech,Brooklyn,55 Willoughby Street,"A,C,F,R",40.6923089,-73.9867358
Court St,Brooklyn,189 Montague Street,"N,R",40.6942001,-73.9916917
Whitehall St,Manhattan,2 Water St,"N,R,W",40.7027979,-74.012748
Rector St,Manhattan,33 Trinity Place,"N,R",40.707121,-74.0132203
Wtc - Cortlandt,Manhattan,19 Church Street,1,40.7106227,-74.0108547
City Hall,Manhattan,256 Broadway,"N,R",40.7134311,-74.0071432
Canal St,Manhattan,257 Canal Street,"N,Q,R,J,Z,6",40.7187615,-74.0006954
Prince St,Manhattan,575 Broadway,"N,Q,R",40.7245413,-73.9977384
8 St - Nyu,Manhattan,755A Broadway,"N,Q,R",40.7304238,-73.9927478
Union Sq - 14 St,Manhattan,East 14th Street,"4,5,6,6x,L,N,Q,R,W",40.7294404,-73.9780305
23 St,Manhattan,949 Broadway,"N,Q,R",40.7410206,-73.9895356
28 St,Manhattan,1185 Broadway,"N,Q,R",40.745545,-73.9888325
34 St - Herald Sq,Manhattan,Avenue of the Americas,"B,D,F,M,N,Q,R",40.7490662,-73.9882979
Times Sq - 42 St,Manhattan,7 West 42nd Street,"N,Q,R,S,1,2,3,7,7x",40.7557653,-73.9867599
49 St,Manhattan,721 7th Avenue,"N,Q,R",40.7599016,-73.9839117
57 St - 7 Av,Manhattan,7th Avenue,"N,Q,R",40.762862,-73.981637
Lexington Av/63 St,Manhattan,139 East 63rd Street,"F,N,Q,R,4,5,6",40.7648134,-73.96602031034847
72 St,Manhattan,300 East 72nd Street,Q,40.7685958,-73.9582788
86 St,Manhattan,1656 2nd Avenue,Q,40.7776639,-73.9516801
96 St,Manhattan,1865 2 Ave,Q,40.723402,-73.989938
