station_name,borough,entrance,lines,latitude,longitude
Astoria - Ditmars Blvd,Queens,22-49 31st Street,"N,W",40.7749016,-73.9119381
Astoria Blvd,Queens,25-02 31 St,"N,W",37.2916266,-76.6162737
30 Av,Queens,31-02 30th Avenue,"N,W",40.7667102,-73.9213085
Broadway,Queens,32-03 31 St,"N,W",37.2916266,-76.6162737
36 Av,Queens,35-55 31 St,"N,W",40.6491542,-73.7944613
39 Av,Queens,38-34 31 St,"N,W",40.6499658,-73.7936232
Queensboro Plaza,Queens,25-08A Queens Plaza South,"N,W,7",40.7502991,-73.9403411
Lexington Av / 59 St,Manhattan,743 Lexington Avenue,"F,N,Q,R,4,5,6",40.7624849,-73.9678233
5 Av/59 St,Manhattan,Grand Army Plaza,"N,Q,R",40.7643796,-73.97337386360579
57 St - 7 Av,Manhattan,7th Avenue,"N,Q,R",40.762862,-73.981637
49 St,Manhattan,721 7th Avenue,"N,Q,R",40.7599016,-73.9839117
Times Sq - 42 St,Manhattan,7 West 42nd Street,"N,Q,R,S,1,2,3,7,7x",40.7557653,-73.9867599
34 St - Herald Sq,Manhattan,Avenue of the Americas,"B,D,F,M,N,Q,R",40.7490662,-73.9882979
28 St,Manhattan,1185 Broadway,"N,Q,R",40.745545,-73.9888325
23 St,Manhattan,949 Broadway,"N,Q,R",40.7410206,-73.9895356
Union Sq - 14 St,Manhattan,East 14th Street,"4,5,6,6x,L,N,Q,R,W",40.7294404,-73.9780305
8 St - Nyu,Manhattan,755A Broadway,"N,Q,R",40.7304238,-73.9927478
Prince St,Manhattan,575 Broadway,"N,Q,R",40.7245413,-73.9977384
Canal St,Manhattan,257 Canal Street,"N,Q,R,J,Z,6",40.7187615,-74.0006954
City Hall,Manhattan,256 Broadway,"N,R",40.7134311,-74.0071432
Wtc - Cortlandt,Manhattan,19 Church Street,1,40.7106227,-74.0108547
Rector St,Manhattan,33 Trinity Place,"N,R",40.707121,-74.0132203
Whitehall St,Manhattan,2 Water St,"N,R,W",40.7027979,-74.012748
