Station,Entrances,Primary Line,Lines,Borough
Van Cortlandt Park 242 St,Broadway and W 242 St,1,"1,",BRONX
238 St,Broadway and W 238  St,1,"1,",BRONX
231 St,Broadway and W 231  St,1,"1,",BRONX
Marble Hill-225 St,Broadway and W 225  St,1,"1,",MANHATTAN
215  St,W 215  St and 10th Ave,1,"1,",MANHATTAN
207  St,W 207  St and 10th Ave,1,"1,",MANHATTAN
Dyckman St,Hillside Ave and Nagle Ave,1,"1,",MANHATTAN
191 St,W 191 St and St Nicholas Ave,1,"1,",MANHATTAN
181 St,W 181 St and St Nicholas Ave,1,"1,",MANHATTAN
168 St,W 168 St and St Nicholas Ave,1,"1,C",MANHATTAN
157 St,Broadway and W 157 St,1,"1,",MANHATTAN
145 St,Broadway and W 145 St,1,"1,",MANHATTAN
137 St City College,Broadway and W 137 St,1,"1,",MANHATTAN
125 St,Broadway and W 125 St,1,"1,",MANHATTAN
116 St Columbia University,Broadway and W 116 St,1,"1,",MANHATTAN
Cathedral Parkway (110 St),Broadway and W 110 St,1,"1,",MANHATTAN
103 St,Broadway and W 103 St,1,"1,",MANHATTAN
96 St,Braodway between W 96 St and W 95 St,1,"1,1 Express,2,3",MANHATTAN
86 St,Broadway and W 86 St,1,"1,",MANHATTAN
79 St,Broadway and W 79 St,1,"1,",MANHATTAN
72 St,W 72 St between Broadway and Amsterdam Ave,1,"1,2,3",MANHATTAN
66 St Lincoln Center,W 66 St and Broadway,1,"1,",MANHATTAN
59 St Columbus Circle,W 60 St between Broadway and Central Park West,1,"1,B,C,D",MANHATTAN
50 St,W 50 St and Broadway,1,"1,",MANHATTAN
Times Square-42 St,W 42 St and 7th Ave,1,"1,1 Express,C,E,2,3,7",MANHATTAN
34 St Penn Station,W 34 St and 7th Ave,1,"1,1 Express,2,3",MANHATTAN
28 St,W 28 St and 7th Ave,1,"1,",MANHATTAN
23 St,W 23 St and 7th Ave,1,"1,",MANHATTAN
18 St,W 18 St and 7th Ave,1,"1,",MANHATTAN
14 St,W 14 St and 7th Ave,1,"1,1 Express,F,2,3",MANHATTAN
Christopher St Sheridan Sq,Christopher St and 7th Ave,1,"1,",MANHATTAN
Houston St,King St and Varick St,1,"1,",MANHATTAN
Canal St,Canal St and Varick St,1,"1,",MANHATTAN
Franklin St,Franklin St and Varick St,1,"1,",MANHATTAN
Chambers St,Chambers St and W Broadway,1,"1,1 Express,2,3",MANHATTAN
WTC Cortlandt,Greenwich St and Vesey St,1,"1,",MANHATTAN
Rector St,Rector St and Greenwich St,1,"1,",MANHATTAN
South Ferry,South St and Whitehall St,1,"1,",MANHATTAN
Wakefield 241 St,E 241 St and White Plains Rd,2,"2,",BRONX
Nereid Av,White Plains Rd and Nereid Ave,2,"2,",BRONX
233 St,E 233 St and White Plains Rd,2,"2,",BRONX
225 St,E 225 St and White Plains Rd,2,"2,",BRONX
219 St,E 219 St and White Plains Rd,2,"2,",BRONX
Gun Hill Rd,E Gun Hill Rd and White Plains Rd,2,"2,",BRONX
Burke Av,Burke Ave and White Plains Rd,2,"2,",BRONX
Allerton Av,Allerton Ave and White Plains Rd,2,"2,",BRONX
Pelham Pkwy,Pelham Parkway South and White Plains Rd,2,"2,",BRONX
Bronx Park East,Sagamore St and Birchell Ave,2,"2,",BRONX
E 180 St,E 180 St and Boston Rd,2,"2,",BRONX
West Farms Sq E Tremont Av,E 178 St and Boston Rd,2,"2,",BRONX
174 St,E 174 St and Boston Rd and Southern Blvd,2,"2,",BRONX
Freeman St,Freeman St and Southern Blvd,2,"2,",BRONX
Simpson St,Simpson St and Westchester Ave,2,"2,",BRONX
Intervale Av,Intervale Ave and Westchester Ave,2,"2,",BRONX
Prospect Av,E 160 St and Westchester Ave,2,"2,",BRONX
Jackson Av,Jackson Ave and Westchester Ave,2,"2,",BRONX
3 Av-149 St,E 149 St and Third Ave,2,"2,2 Express,",BRONX
149 St-Grand Concourse,E 149 St and Grand Concourse,2,"2,2 Express,",BRONX
135 St,W 135 St and Lenox Ave,2,"2,3",MANHATTAN
125 St,W 125 St and Lenox Ave,2,"2,3",MANHATTAN
116 St,W 116 St and Lenox Ave,2,"2,3",MANHATTAN
Central Park North (110 St),W 111 St and Lenox Ave,2,"2,3",MANHATTAN
96 St,Broadway between W and 96 St.,2,"2,2 Express,1,3",MANHATTAN
72 St,W 72 St between Broadway and Amsterdam Ave,2,"2,2 Express,1,3",MANHATTAN
Times Square-42 St,W 42 St and 7th Ave and Broadway,2,"2,2 Express,C,E,1,3,7",MANHATTAN
34 St Penn Station,W 34 St and 7th Ave,2,"2,2 Express,1,3",MANHATTAN
14 St,W 14 St and 7th Ave,2,"2,2 Express,F,1,3",MANHATTAN
Chambers St,Chambers St and W Broadway,2,"2,2 Express,1,3",MANHATTAN
Park Place,Park Place and Broadway,2,"2,C,E,3",MANHATTAN
Fulton St,Fulton St and William St,2,"2,C,3,4",MANHATTAN
Wall St,Wall St and William St,2,"2,3",MANHATTAN
Clark St,Clark St and Henry St,2,"2,3",BROOKLYN
Borough Hall,Court St and Montague St,2,"2,2 Express,3,4",BROOKLYN
Hoyt St,Fulton St and Hoyt St,2,"2,3",BROOKLYN
Nevins St,Flatbush Ave between Nevins St and Livingston St,2,"2,2 Express,3,4",BROOKLYN
Atlantic Ave-Barclays Ctr,Hanson Place and Flatbush Ave,2,"2,2 Express,B,D,3,4",BROOKLYN
Bergen St,Bergen St and Flatbush Ave,2,"2,3",BROOKLYN
Grand Army Plaza,Plaza St West and Flatbush Ave,2,"2,3",BROOKLYN
Eastern Pkwy Brooklyn Museum,Eastern Parkway,2,"2,3",BROOKLYN
Franklin Av,Franklin Ave and Eastern Parkway,2,"2,2 Express,3,4",BROOKLYN
President St,President St and Nostrand Ave,2,"2,",BROOKLYN
Sterling St,Sterling St and Nostrand Ave,2,"2,",BROOKLYN
Winthrop St,Winthrop St and Nostrand Ave,2,"2,",BROOKLYN
Church Av,Church Ave and Nostrand Ave,2,"2,",BROOKLYN
Beverly Rd,Beverly Rd and Nostrand Ave,2,"2,",BROOKLYN
Newkirk Av,Newkirk Ave and Nostrand Ave,2,"2,",BROOKLYN
Flatbush Av Brooklyn College,Flatbush Ave and Nostrand Ave,2,"2,",BROOKLYN
Harlem 148 St,W 149 St and Adam C Powell Blvd,3,"3,",MANHATTAN
145 St,W 145 St and Lenox Ave,3,"3,",MANHATTAN
135 St,W 135 St and Lenox Ave,3,"3,2",MANHATTAN
125 St,W 125 St and Lenox Ave,3,"3,2",MANHATTAN
116 St,W 116 St and Lenox Ave,3,"3,2",MANHATTAN
Central Park North (110 St),W 111 St and Lenox Ave,3,"3,2",MANHATTAN
96 St,Broadway between W 96 St and W 95 St,3,"3,3 Express,1,2",MANHATTAN
72 St,W 72 St between Broadway and Amsterdam Ave,3,"3,3 Express,1,2",MANHATTAN
Times Square-42 St,W 42 St and 7th Ave,3,"3,3 Express,C,E,1,3,2",MANHATTAN
34 St Penn Station,W 34 St and 7th Ave,3,"3,3 Express,1,2",MANHATTAN
14 St,W 14 St and 7th Ave,3,"3,3 Express,F,1,2",MANHATTAN
Chambers St,Chambers St and W Broadway,3,"3,3 Express,1,2",MANHATTAN
Park Place,Park Place and Broadway,3,"3,C,E,2",MANHATTAN
Fulton St,Fulton St and William St,3,"3,C,2,4",MANHATTAN
Wall St,Wall St and William St,3,"3,2",MANHATTAN
Clark St,Clark St and Henry St,3,"3,2",BROOKLYN
Borough Hall,Court St and Montague St,3,"3,3 Express,2,4",BROOKLYN
Hoyt St,Fulton St and Hoyt St,3,"3,2",BROOKLYN
Nevins St,Flatbush Ave between Nevins St and Livingston St,3,"3,3 Express,2,4",BROOKLYN
Atlantic Ave-Barclays Ctr,Hanson Place and Flatbush Ave,3,"3,3 Express,B,D,2,4",BROOKLYN
Bergen St,Bergen St and Flatbush Ave,3,"3,2",BROOKLYN
Grand Army Plaza,Plaza St West and Flatbush Ave,3,"3,2",BROOKLYN
Eastern Pkwy Brooklyn Museum,Eastern Parkway,3,"3,2",BROOKLYN
Franklin Av,Franklin Ave and Eastern Parkway,3,"3,3 Express,2,4",BROOKLYN
Nostrand Av,Nostrand Ave and Eastern Parkway,3,"3,",BROOKLYN
Kingston Av,Kingston Ave and Eastern Parkway,3,"3,",BROOKLYN
Crown Heights-Utica Av,Utica Ave and Eastern Parkway,3,"3,3 Express,4",BROOKLYN
Sutter Ave-Rutland Road,E 98 St and Rutland Rd,3,"3,",BROOKLYN
Saratoga Av,Sratoga Ave and Livonia Ave,3,"3,",BROOKLYN
Rockaway Av,Rockaway Ave and Livonia Ave,3,"3,",BROOKLYN
Junius St,Livonia Ave between Powell St and Sackman St,3,"3,",BROOKLYN
Pennsylvania Av,Pennsylvania Ave and Livonia Ave,3,"3,",BROOKLYN
Van Siclen Av,Van Siclen Ave and Livonia Ave,3,"3,",BROOKLYN
New Lots Av,Ashford St and Livonia Ave,3,"3,",BROOKLYN
Woodlawn,Jerome Ave and Bainbridge Ave,4,"4,",BRONX
Moshulu Pkwy,Jerome Ave and Moshulu Parkway,4,"4,",BRONX
Bedford Pk Blvd Lehman College,Jerome Ave and Bedford Park Blvd,4,"4,",BRONX
Kingsbridge Rd,Jerome Ave and Kingsbridge Rd,4,"4,",BRONX
Fordham Rd,Jerome Ave and Fordham Rd,4,"4,",BRONX
183 St,Jerome Ave and W 183 St,4,"4,",BRONX
Burnside Av,Jerome Ave and Burnside Ave,4,"4,",BRONX
176 St,Jerome Ave and E 176 St,4,"4,",BRONX
Mt Eden Av,Jerome Ave and Mt. Eden Ave,4,"4,",BRONX
170 St,Jerome Ave and 170 St,4,"4,",BRONX
167 St,River Ave and E 167 St,4,"4,",BRONX
161 St Yankee Stadium,River Ave and E 161 St,4,"4,B,D",BRONX
149 St-Grand Concourse,E 149 St and Grand Concourse,4,"4,4 Express,2",BRONX
138 St-Grand Concourse,E 138 St and Grand Concourse,4,"4,",BRONX
125 St,E 125 St and Lexington Ave,4,"4,4 Express,6",MANHATTAN
86 St,E 86 St and Lexington Ave,4,"4,6",MANHATTAN
59 St,E 60 St and Lexington Ave,4,"4,4 Express,6",MANHATTAN
Grand Central 42 St,Park Ave and E 42 St,4,"4,4 Express,6,7",MANHATTAN
14 St-Union Sq,E 15 St and Union Square East,4,"4,4 Express,6",MANHATTAN
Brooklyn Bridge City Hall,Centre St between Chambers St and Brooklyn Bridge Promenade,4,"4,4 Express,6",MANHATTAN
Fulton St,Fulton St and Broadway,4,"4,4 Express,C,2,3",MANHATTAN
Wall St,Rector St and Broadway,4,"4,4 Express,",MANHATTAN
Bowling Green,Bowling Green Park at Whitehall St,4,"4,4 Express,",MANHATTAN
Borough Hall,Joralemon St and Court St,4,"4,4 Express,2,3",BROOKLYN
Nevins St,Flatbush Ave between Nevins St and Livingston St,4,"4,4 Express,2,3",BROOKLYN
Atlantic Ave-Barclays Ctr,Hanson Place and Flatbush Ave,4,"4,4 Express,B,D,2,3",BROOKLYN
Franklin Av,Franklin Ave and Eastern Parkway,4,"4,4 Express,2,3",BROOKLYN
Crown Heights-Utica Av,Utica Ave and Eastern Parkway,4,"4,4 Express,3",BROOKLYN
Pelham Bay Park,Westchester Ave and Bruckner Blvd,6,"6,",BRONX
Buhre Av,Edison Ave and Westchester Ave,6,"6,",BRONX
Middletown Rd,Westchester Ave and Middletown Rd,6,"6,",BRONX
Westchester Sq East Tremont Av,Westchester Ave and Ferris Pl,6,"6,",BRONX
Zerega Av,Zerega Ave and Westchester Ave,6,"6,",BRONX
Castle Hill Av,Castle Hill Ave and Westchester Ave,6,"6,",BRONX
Parkchester,Center of Hugh Grant Circle at Westchester Ave and Metropolitan Ave,6,"6,6 Express,",BRONX
St Lawrence Av,St Lawrence Ave and Westchester Ave,6,"6,",BRONX
Morrison Av Soundview,Morrison Ave and Westchester Ave,6,"6,",BRONX
Elder Av,Elder Ave and Westchester Ave,6,"6,",BRONX
Whitlock Av,Whitlock Ave and Westchester Ave,6,"6,",BRONX
Hunts Point Av,Hunts Points Ave and Southern Blvd,6,"6,6 Express,",BRONX
Longwood Av,Longwood Ave and Southern Blvd,6,"6,",BRONX
E 149 St,E 149 St and Southern Blvd,6,"6,",BRONX
E 143 St-Mary's St,E 143 St and Southern Blvd,6,"6,",BRONX
Cypress Av,E 138 St between Cypress Ave and Jackson Ave,6,"6,",BRONX
Brook Av,E 138 St and Brook Ave,6,"6,",BRONX
3 Av 138 St,E 138 St and 3rd Ave,6,"6,6 Express,",BRONX
125 St,E 125 St and Lexington Ave,6,"6,6 Express,4",MANHATTAN
116 St,E 116 St and Lexington Ave,6,"6,",MANHATTAN
110 St,E 110 St and Lexington Ave,6,"6,",MANHATTAN
103 St,E 103 St and Lexington Ave,6,"6,",MANHATTAN
