station_name,borough,entrance,lines
Jamaica Center - Parsons/Archer,Queens,155-01 Archer Avenue,"E,J,Z"
Sutphin Blvd - Archer Av - JFK Airport,Queens,93-25 Sutphin Blvd,"E,J,Z"
Jamaica - Van Wyck,Queens,134-36 Jamaica Ave,E
Briarwood - Van Wyck Blvd,Queens,Van Wyck Expressway,"E,F"
Kew Gardens - Union Tpke,Queens,Union Turnpike,"E,F"
75 Av,Queens,111-16 Queens Blvd,"E,F"
Forest Hills - 71 Av,Queens,107-48 Queens Blvd,"E,F,M,R"
67 Av,Queens,101-02 Queens Blvd,"E,M,R"
63 Dr - Rego Park,Queens,96-22 Queens Blvd,"E,M,R"
Woodhaven Blvd,Queens,Horace Harding Expressway,"E,M,R"
Grand Av - Newtown,Queens,86-57 Broadway,"E,M,R"
Elmhurst Av,Queens,82-23 Broadway,"E,M,R"
Jackson Hts - Roosevelt Av - 74 St,Queens,74-02 Roosevelt Avenue,"E,F,M,R,7"
65 St,Queens,64-01 Broadway,"E,M,R"
Northern Blvd,Queens,55-02 Broadway,"E,M,R"
46 St,Queens,47-07 Broadway,"E,M,R"
Steinway St,Queens,32-84 Steinway Street,"E,M,R"
36 St,Queens,35-01 Northern Blvd,"E,M,R"
Queens Plaza,Queens,Jackson Avenue,"E,M,R"
Court Sq - 23 St,Queens,45-01 23 St,"E,G,M,7"
Lexington Av/53 St,Manhattan,201 East 53rd Street,"E,M,4,6,6x"
5 Av/53 St,Manhattan,1 E 53 St,"E,M"
7 Av,Manhattan,811 7th Avenue,"B,D,E"
50 St,Manhattan,832 8 Ave,"A,C,E"
42 St - Port Authority Bus Terminal,Manhattan,661 8 Ave,"A,C,E"
34 St - Penn Station,Manhattan,480 8th Avenue,"A,C,E"
23 St,Manhattan,West 24th Street,"A,C,E"
14 St - 8 Avenue,Manhattan,81 8th Avenue,"A,C,E,L"
W 4 St,Manhattan,West 4th Street,"A,B,C,D,E,F,M"
Spring St,Manhattan,188 Ave Of The Americas,"A,C,E"
Canal St,Manhattan,1 Lispenard Street,"A,C,E"
World Trade Center,Manhattan,79 Church Street,"1,2,3,A,C,E,N,R,W"
