station_name,borough,entrance,lines
Court Sq - 23 St,Queens,45-01 23 St,"E,G,M,7"
21 St,Queens,13-01 Jackson Avenue,G
Greenpoint Av,Brooklyn,940 Manhattan Ave,G
Nassau Av,Brooklyn,664 Manhattan Ave,G
Metropolitan Av,Brooklyn,405 Union Ave,"G,L"
Broadway,Brooklyn,187 Union Avenue,G
Flushing Av,Brooklyn,Wallabout Street,G
Myrtle - Willoughby Avs,Brooklyn,597 Marcy Avenue,G
Bedford - Nostrand Avs,Brooklyn,536 Lafayette Ave,G
Classon Av,Brooklyn,344 Classon Ave,G
Clinton - Washington Avs,Brooklyn,238 Lafayette Ave,G
Fulton St,Brooklyn,64 Lafayette Ave,G
Hoyt - Schermerhorn Sts,Brooklyn,227 Schermerhorn St,"A,C,G"
Bergen St,Brooklyn,164 Smith St,"F,G"
Carroll St,Brooklyn,330 Smith Street,"F,G"
Smith - 9 Sts,Brooklyn,55 9 St,"F,G"
4 Av - 9 St,Brooklyn,250 9th Street,"D,F,N,R,G"
7 Av,Brooklyn,484 9 St,"F,G"
15 St - Prospect Park,Brooklyn,481 16 St,"F,G"
Fort Hamilton Pkwy,Brooklyn,Prospect Avenue,"F,G"
Church Av,Brooklyn,412 Mc Donald Ave,"F,G"
