station_name,borough,entrance,lines
Astoria - Ditmars Blvd,Queens,22-49 31st Street,"N,W"
Astoria Blvd,Queens,25-02 31 St,"N,W"
30 Av,Queens,31-02 30th Avenue,"N,W"
Broadway,Queens,32-03 31 St,"N,W"
36 Av,Queens,35-55 31 St,"N,W"
39 Av,Queens,38-34 31 St,"N,W"
Queensboro Plaza,Queens,25-08A Queens Plaza South,"N,W,7"
Lexington Av / 59 St,Manhattan,743 Lexington Avenue,"F,N,Q,R,4,5,6"
5 Av/59 St,Manhattan,Grand Army Plaza,"N,Q,R"
57 St - 7 Av,Manhattan,7th Avenue,"N,Q,R"
49 St,Manhattan,721 7th Avenue,"N,Q,R"
Times Sq - 42 St,Manhattan,7 West 42nd Street,"N,Q,R,S,1,2,3,7,7x"
34 St - Herald Sq,Manhattan,Avenue of the Americas,"B,D,F,M,N,Q,R"
28 St,Manhattan,1185 Broadway,"N,Q,R"
23 St,Manhattan,949 Broadway,"N,Q,R"
Union Sq - 14 St,Manhattan,East 14th Street,"4,5,6,6x,L,N,Q,R,W"
8 St - Nyu,Manhattan,755A Broadway,"N,Q,R"
Prince St,Manhattan,575 Broadway,"N,Q,R"
Canal St,Manhattan,257 Canal Street,"N,Q,R,J,Z,6"
City Hall,Manhattan,256 Broadway,"N,R"
Wtc - Cortlandt,Manhattan,19 Church Street,1
Rector St,Manhattan,33 Trinity Place,"N,R"
Whitehall St,Manhattan,2 Water St,"N,R,W"
Court St,Brooklyn,189 Montague Street,"N,R"
Jay St - Metrotech,Brooklyn,55 Willoughby Street,"A,C,F,R"
Dekalb Av,Brooklyn,340 Flatbush Ave Extension,"B,D,N,Q,R"
Atlantic Av - Barclays Ctr,Brooklyn,590 Atlantic Ave,"B,D,N,Q,R,2,3,4,5"
Union St,Brooklyn,215 4 Ave,"D,N,R"
4 Av - 9 St,Brooklyn,250 9th Street,"D,F,N,R,G"
Prospect Av,Brooklyn,591 4 Ave,"D,N,R"
25 St,Brooklyn,751 4th Avenue,"D,N,R"
36 St,Brooklyn,926 4 Ave,"D,N,R"
45 St,Brooklyn,4523 4th Avenue,R
53 St,Brooklyn,5213 4 Ave,"N,R"
59 St,Brooklyn,5901 4 Ave,"N,R"
8 Av,Brooklyn,740 61st Street,N
Fort Hamilton Pkwy,Brooklyn,1032 62 St,N
New Utrecht Av,Brooklyn,1462 62nd Street,"N,W,D"
18 Av,Brooklyn,1740 63rd Street,N
20 Av,Brooklyn,6310 20 Ave,N
Bay Pkwy,Brooklyn,1370 West 7th Street,N
Kings Hwy,Brooklyn,1776 West 7th Street,N
Avenue U,Brooklyn,2044 West 7th Street,N
86 St,Brooklyn,2260A West 7th Street,N
Coney Island - Stillwell Av,Brooklyn,2859 Stillwell Ave,"D,F,N,Q"
