station_name,borough,entrance,lines
Forest Hills - 71 Av,Queens,107-48 Queens Blvd,"E,F,M,R"
67 Av,Queens,101-02 Queens Blvd,"E,M,R"
63 Dr - Rego Park,Queens,96-22 Queens Blvd,"E,M,R"
Woodhaven Blvd,Queens,Horace Harding Expressway,"E,M,R"
Grand Av - Newtown,Queens,86-57 Broadway,"E,M,R"
Elmhurst Av,Queens,82-23 Broadway,"E,M,R"
Jackson Hts - Roosevelt Av - 74 St,Queens,74-02 Roosevelt Avenue,"E,F,M,R,7"
65 St,Queens,64-01 Broadway,"E,M,R"
Northern Blvd,Queens,55-02 Broadway,"E,M,R"
46 St,Queens,47-07 Broadway,"E,M,R"
Steinway St,Queens,32-84 Steinway Street,"E,M,R"
36 St,Queens,35-01 Northern Blvd,"E,M,R"
Queens Plaza,Queens,Jackson Avenue,"E,M,R"
Lexington Av / 59 St,Manhattan,743 Lexington Avenue,"F,N,Q,R,4,5,6"
5 Av/59 St,Manhattan,Grand Army Plaza,"N,Q,R"
57 St - 7 Av,Manhattan,7th Avenue,"N,Q,R"
49 St,Manhattan,721 7th Avenue,"N,Q,R"
Times Sq - 42 St,Manhattan,7 West 42nd Street,"N,Q,R,S,1,2,3,7,7x"
34 St - Herald Sq,Manhattan,Avenue of the Americas,"B,D,F,M,N,Q,R"
28 St,Manhattan,1185 Broadway,"N,Q,R"
23 St,Manhattan,949 Broadway,"N,Q,R"
Union Sq - 14 St,Manhattan,East 14th Street,"4,5,6,6x,L,N,Q,R,W"
8 St - Nyu,Manhattan,755A Broadway,"N,Q,R"
Prince St,Manhattan,575 Broadway,"N,Q,R"
Canal St,Manhattan,257 Canal Street,"N,Q,R,J,Z,6"
City Hall,Manhattan,256 Broadway,"N,R"
Wtc - Cortlandt,Manhattan,19 Church Street,1
Rector St,Manhattan,33 Trinity Place,"N,R"
Whitehall St,Manhattan,2 Water St,"N,R,W"
Court St,Brooklyn,189 Montague Street,"N,R"
Jay St - Metrotech,Brooklyn,55 Willoughby Street,"A,C,F,R"
Dekalb Av,Brooklyn,340 Flatbush Ave Extension,"B,D,N,Q,R"
Atlantic Av - Barclays Ctr,Brooklyn,590 Atlantic Ave,"B,D,N,Q,R,2,3,4,5"
Union St,Brooklyn,215 4 Ave,"D,N,R"
4 Av - 9 St,Brooklyn,250 9th Street,"D,F,N,R,G"
Prospect Av,Brooklyn,591 4 Ave,"D,N,R"
25 St,Brooklyn,751 4th Avenue,"D,N,R"
36 St,Brooklyn,926 4 Ave,"D,N,R"
45 St,Brooklyn,4523 4th Avenue,R
53 St,Brooklyn,5213 4 Ave,"N,R"
59 St,Brooklyn,5901 4 Ave,"N,R"
Bay Ridge Av,Brooklyn,6811 4 Ave,R
77 St,Brooklyn,7609 4th Avenue,R
86 St,Brooklyn,8602 4th Avenue,R
Bay Ridge - 95 St,Brooklyn,9402 4th Avenue,R
