station_name,borough,entrance,lines
Jamaica Center - Parsons/Archer,Queens,155-01 Archer Avenue,"E,J,Z"
Sutphin Blvd - Archer Av - JFK Airport,Queens,93-25 Sutphin Blvd,"E,J,Z"
121 St,Queens,121-17 Jamaica Ave,"J,Z"
104 St,Queens,102-28 Jamaica Ave,"J,Z"
Woodhaven Blvd,Queens,93-15 Jamaica Avenue,"J,Z"
75 St,Queens,74-24 Jamaica Ave,"J,Z"
Crescent St,Brooklyn,3294 Fulton St,"J,Z"
Norwood Av,Brooklyn,153 Hale Avenue,"J,Z"
Van Siclen Av,Brooklyn,2788 Fulton Street,"J,Z"
Alabama Av,Brooklyn,2598 Fulton St,"J,Z"
Broadway Jct,Brooklyn,2399 Fulton Street,"A,C,J,L,Z"
Chauncey St,Brooklyn,1747 Broadway,"J,Z"
Gates Av,Brooklyn,1363 Broadway,"J,Z"
Myrtle Av,Brooklyn,935 Broadway,"J,M,Z"
Marcy Av,Brooklyn,299 Broadway,"J,M,Z"
Delancey St - Essex St,Manhattan,118 Delancey Street,"F,J,M,Z"
Bowery,Manhattan,173 Bowery,"J,Z"
Canal St,Manhattan,257 Canal Street,"N,Q,R,J,Z,6"
Brooklyn Bridge - Chambers St,Manhattan,1 Centre St,"J,Z,4,5,6"
Fulton St,Manhattan,139 Fulton St,"A,C,N,R,W,J,Z,2,3,4,5"
Broad St,Manhattan,40 Broad Street,"J,Z"
